,yr,stdg_cd,dat_no,jan,feb,mar,apr,may,jun,july,aug,sep,oct,nov,dec,qu_1,qu_2,qu_3,qu_4,ht_1,ht_2,yr_vl,frst_reg_dt,last_mdfcn_dt
0,2021,C270005,M00026007,,,,,,,,,,,,,,,,,,,37928,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
1,2021,C270001,M00026007,,,,,,,,,,,,,,,,,,,192507,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
2,2021,C270007,M00026007,,,,,,,,,,,,,,,,,,,7402,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
3,2021,C270006,M00026007,,,,,,,,,,,,,,,,,,,11221,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
4,2021,C270008,M00026007,,,,,,,,,,,,,,,,,,,11080,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
5,2021,C270009,M00026007,,,,,,,,,,,,,,,,,,,4964,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
6,2021,C270017,M00026007,,,,,,,,,,,,,,,,,,,5397,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
7,2021,C270010,M00026007,,,,,,,,,,,,,,,,,,,5450,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
8,2021,C270011,M00026007,,,,,,,,,,,,,,,,,,,4109,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
9,2021,C270014,M00026007,,,,,,,,,,,,,,,,,,,5670,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
10,2021,C270016,M00026007,,,,,,,,,,,,,,,,,,,8120,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
11,2021,C270012,M00026007,,,,,,,,,,,,,,,,,,,1644,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
12,2021,C270013,M00026007,,,,,,,,,,,,,,,,,,,55619,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
13,2021,C270015,M00026007,,,,,,,,,,,,,,,,,,,5946,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
14,2021,C270020,M00026007,,,,,,,,,,,,,,,,,,,10662,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
15,2021,C270018,M00026007,,,,,,,,,,,,,,,,,,,6249,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
16,2021,C270019,M00026007,,,,,,,,,,,,,,,,,,,8262,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
17,2021,C270015,M00026009,,,,,,,,,,,,,,,,,,,3309,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
18,2021,C270006,M00026008,,,,,,,,,,,,,,,,,,,614,2023-07-17 17:54:03.617735,2023-07-17 17:54:03.617735
19,2021,C270021,M00026007,,,,,,,,,,,,,,,,,,,2686,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
20,2021,C270022,M00026007,,,,,,,,,,,,,,,,,,,98,2023-07-17 17:53:23.386134,2023-07-17 17:53:23.386134
21,2021,C270001,M00026008,,,,,,,,,,,,,,,,,,,13926,2023-07-17 17:54:03.617735,2023-07-17 17:54:03.617735
22,2021,C270009,M00026008,,,,,,,,,,,,,,,,,,,274,2023-07-17 17:54:03.617735,2023-07-17 17:54:03.617735
