"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2018","3023000000",M020011,,,,,,,,,,,,,,,,,,,5048,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4825000000",M020011,,,,,,,,,,,,,,,,,,,12296,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4133000000",M020011,,,,,,,,,,,,,,,,,,,10459,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","5013000000",M020011,,,,,,,,,,,,,,,,,,,5966,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4794000000",M020011,,,,,,,,,,,,,,,,,,,445,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","2611000000",M020011,,,,,,,,,,,,,,,,,,,2578,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2820000000",M020011,,,,,,,,,,,,,,,,,,,12338,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","2614000000",M020011,,,,,,,,,,,,,,,,,,,6353,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2818500000",M020011,,,,,,,,,,,,,,,,,,,6913,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","1129000000",M020011,,,,,,,,,,,,,,,,,,,10936,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4374500000",M020011,,,,,,,,,,,,,,,,,,,1664,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","5011000000",M020011,,,,,,,,,,,,,,,,,,,11295,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4872000000",M020011,,,,,,,,,,,,,,,,,,,3133,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4373000000",M020011,,,,,,,,,,,,,,,,,,,3445,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4311300000",M020011,,,,,,,,,,,,,,,,,,,6224,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2920000000",M020011,,,,,,,,,,,,,,,,,,,7370,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4281000000",M020011,,,,,,,,,,,,,,,,,,,1571,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4511000000",M020011,,,,,,,,,,,,,,,,,,,20219,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","1168000000",M020011,,,,,,,,,,,,,,,,,,,9490,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4113100000",M020011,,,,,,,,,,,,,,,,,,,6656,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","1120000000",M020011,,,,,,,,,,,,,,,,,,,8009,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","1165000000",M020011,,,,,,,,,,,,,,,,,,,7531,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4812700000",M020011,,,,,,,,,,,,,,,,,,,8095,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4678000000",M020011,,,,,,,,,,,,,,,,,,,4270,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4682000000",M020011,,,,,,,,,,,,,,,,,,,6194,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4275000000",M020011,,,,,,,,,,,,,,,,,,,2693,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4721000000",M020011,,,,,,,,,,,,,,,,,,,6306,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4513000000",M020011,,,,,,,,,,,,,,,,,,,9601,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4115000000",M020011,,,,,,,,,,,,,,,,,,,11541,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2872000000",M020011,,,,,,,,,,,,,,,,,,,1057,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4221000000",M020011,,,,,,,,,,,,,,,,,,,4313,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4682000000",M020011,,,,,,,,,,,,,,,,,,,5745,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
