yr,stdg_cd,M020008,M020009,M020010,M020011,M020012,M020013,M020014,M020015,M020016,M020017
2021,1000000000,,,,,,,,,,
2021,1111000000,10944,4688,6256,5247,9092,21733,4738,1387,3927,1640
2021,1114000000,11368,5319,6049,5014,8214,19262,2727,2508,2196,3026
2021,1117000000,16400,8677,7723,6742,12197,32385,7033,2332,6517,2998
2021,1120000000,10196,4515,5681,8009,14834,36401,9482,4540,6344,5529
2021,1121500000,18704,8132,10572,8993,16448,56678,16493,1449,13946,2021
2021,1123000000,19109,7648,11461,11998,21051,52094,13188,4873,9133,5682
2021,1126000000,6864,2739,4125,14555,24864,45763,13883,3527,9485,4273
2021,1129000000,13081,5079,8002,12855,24002,50734,12219,4521,11126,5348
2021,1130500000,4918,1849,3069,13860,23233,34318,9262,2042,7551,2258
2021,1132000000,3032,1099,1933,11830,21829,25872,4994,3295,3804,4226
2021,1135000000,5672,2425,3247,19299,32101,40704,5528,10455,3948,12892
2021,1138000000,5724,2356,3368,15393,28338,46864,7343,3457,6187,4452
2021,1141000000,14635,5374,9261,9612,17616,42323,9252,3383,8946,4299
2021,1144000000,12360,4993,7367,9308,17235,57369,9603,4662,8318,6164
2021,1147000000,5291,2255,3036,12042,22558,30800,5616,3566,3684,3963
2021,1150000000,8367,3609,4758,18123,31667,76061,7457,8219,5285,9558
2021,1153000000,42886,23542,19344,11970,23603,42826,6713,5089,3961,5637
2021,1154500000,25207,13554,11653,8379,14491,38332,7266,2882,4273,2658
2021,1156000000,43342,23157,20185,10845,20519,58796,9037,5638,6397,5989
2021,1159000000,14423,6440,7983,10808,21300,56480,16000,4060,13949,4843
2021,1162000000,22514,10080,12434,15039,27462,120482,36449,4728,27478,4967
2021,1165000000,7152,3494,3658,7531,17869,38105,5348,3937,5247,5145
2021,1168000000,8848,4223,4625,11593,24959,59996,8262,6502,8907,8418
2021,1171000000,9743,4492,5251,13807,29857,65208,7349,4713,5736,6140
2021,1174000000,6300,2825,3475,12532,23962,44221,8556,4617,5910,6155
2021,2600000000,,,,,,,,,,
2021,2611000000,2250,1477,773,3197,4798,7779,1294,487,837,610
2021,2614000000,2302,1418,884,6801,10983,12164,2850,1133,1867,1470
2021,2617000000,2170,1022,1148,6046,9613,10295,2247,1176,1451,1213
2021,2620000000,2062,1262,800,8037,12968,11051,3257,2192,1624,1936
2021,2623000000,3042,1149,1893,16175,27779,46143,5483,7277,3784,9422
2021,2626000000,1272,431,841,10154,18977,21129,3047,3056,2243,3935
2021,2629000000,6600,3267,3333,10797,20334,25988,4574,3129,3010,3961
2021,2632000000,2732,1178,1554,12228,20447,21690,3803,5575,2096,5616
2021,2635000000,4713,2233,2480,15476,27466,32204,3796,5819,2370,7956
2021,2638000000,5010,2971,2039,13624,23314,28504,5459,5970,3034,5236
2021,2641000000,4808,1922,2886,10652,19174,27146,6634,2500,4610,3238
2021,2644000000,5630,4652,978,2880,5727,12629,3209,3121,1125,2049
2021,2647000000,984,358,626,8455,15581,18972,2674,2466,2169,3334
2021,2650000000,1701,752,949,7858,14495,22363,2468,2313,2085,3299
2021,2653000000,5586,2971,2615,9557,15576,23620,4964,4538,2822,4266
2021,2671000000,2472,1595,877,6211,10748,14052,2835,3573,1495,3517
2021,2700000000,,,,,,,,,,
2021,2711000000,722,309,413,3584,6210,11458,2943,1018,2668,1278
2021,2714000000,2229,710,1519,15980,27895,32552,7866,6789,5221,6951
2021,2717000000,2943,1502,1441,9464,15748,17647,7468,1143,4742,1335
2021,2720000000,1940,788,1152,8618,14261,23040,9653,957,8796,1352
2021,2723000000,6264,2920,3344,14195,25505,45514,15558,7685,9193,7862
2021,2726000000,2147,843,1304,13749,26282,29388,7718,4655,7143,6439
2021,2729000000,12972,7222,5750,18999,33325,52430,16772,9032,12107,10143
2021,2771000000,7739,4776,2963,6768,12606,21321,4462,7499,1782,5697
2021,2800000000,,,,,,,,,,
2021,2811000000,5151,2630,2521,4575,7784,20160,3962,3734,1504,2464
2021,2814000000,1190,631,559,3303,5481,4727,922,1293,461,850
2021,2817700000,13025,6397,6628,14247,24900,46468,7627,5785,3622,5169
2021,2818500000,19897,10282,9615,6913,12919,30324,5333,6030,2235,5931
2021,2820000000,16395,10157,6238,15667,26773,48742,5612,9598,2815,9346
2021,2823700000,22352,11174,11178,15720,26555,42754,5624,7301,2733,7207
2021,2824500000,4635,1955,2680,8129,13540,24379,2733,5338,1422,5167
2021,2826000000,16378,10465,5913,10624,19395,43825,7841,7416,3189,6109
2021,2871000000,1075,648,427,4371,8755,4341,1534,107,1172,115
2021,2872000000,281,191,90,1301,2309,2870,1385,215,559,20
2021,2911000000,2168,1109,1059,4657,8912,15634,4663,2206,3156,2337
2021,2914000000,2249,980,1269,9634,17217,35787,9675,6604,6270,7441
2021,2915500000,1947,762,1185,8148,14875,20228,4769,4610,3342,5230
2021,2917000000,5924,2701,3223,15687,26920,49694,12828,11706,7846,11320
2021,2920000000,18209,10488,7721,8769,14645,42005,10305,12481,5893,9511
2021,3011000000,5573,2538,3035,10196,17182,31738,12202,4327,7926,4000
2021,3014000000,1987,693,1294,10192,18157,23680,6856,3435,5316,3995
2021,3017000000,4501,1749,2752,12683,23655,62906,21368,8446,16408,10612
2021,3020000000,8236,4085,4151,6561,12567,52568,17325,9571,9397,9056
2021,3023000000,2966,1409,1557,6634,11239,19042,6134,3483,3440,3099
2021,3100000000,,,,,,,,,,
2021,3111000000,2680,1086,1594,7717,13397,18553,6017,2850,3360,2641
2021,3114000000,6246,3226,3020,8469,15383,34303,9688,5465,5718,4950
2021,3117000000,4171,2642,1529,3976,7566,14461,5195,2926,1961,2157
2021,3120000000,3072,1722,1350,3594,6589,15008,4157,4967,1327,3276
2021,3171000000,9219,6103,3116,7220,12781,19278,6667,4190,2487,3033
2021,3611000000,,,,,,,,,,
2021,3611031025,6991,4156,2835,6372,12417,38656,7404,11919,3785,12096
2021,4100000000,,,,,,,,,,
2021,4111000000,53985,27864,26121,26737,47092,132102,33903,18614,17930,17151
2021,4111100000,9819,5002,4817,7535,13256,25353,8220,2591,4171,2649
2021,4111300000,14918,7536,7382,7860,14146,36832,10236,5348,5433,4772
2021,4111500000,19756,10699,9057,6305,10303,28078,5297,3831,2987,3412
2021,4111700000,9492,4627,4865,5037,9387,41827,10150,6844,5339,6318
2021,4113000000,23914,11508,12406,25880,46367,95980,26833,10767,16310,10971
2021,4113100000,14405,7257,7148,8864,14136,32820,13479,2670,8082,2349
2021,4113300000,4151,1846,2305,7500,12157,25591,7365,2150,4376,1863
2021,4113500000,5358,2405,2953,9516,20074,37540,5989,5947,3852,6759
2021,4115000000,6588,2943,3645,14362,25241,41024,7286,9230,4269,9401
2021,4117000000,10330,4957,5373,13312,25172,39679,6677,7038,3827,7477
2021,4117100000,7925,3940,3985,7060,13032,19998,4518,2445,2633,2315
2021,4117300000,2405,1017,1388,6252,12140,19669,2159,4593,1194,5162
2021,4119000000,39722,19785,19937,21964,38242,68057,11292,9498,6349,9779
2021,4121000000,6493,3126,3367,7841,14056,19558,3019,4008,1652,4025
2021,4122000000,33426,18804,14622,,,,,,,
2021,4125000000,4195,2325,1870,4681,7627,8546,1905,1509,917,1408
2021,4127000000,79928,44584,35344,15442,25645,71927,21031,8148,9484,6574
2021,4127100000,21243,10789,10454,8660,14377,38428,12438,2814,6102,2595
2021,4127300000,58685,33795,24890,6782,11268,33499,8593,5334,3382,3979
2021,4128000000,17620,8613,9007,26098,48975,83534,14173,13900,8272,15695
2021,4128100000,6780,3111,3669,13754,24663,39368,7216,7762,3605,8103
2021,4128500000,5969,3177,2792,6099,12014,27885,4440,2651,3225,3378
2021,4128700000,4871,2325,2546,6245,12298,16257,2517,3487,1442,4214
2021,4129000000,383,197,186,1417,2988,2909,939,416,587,460
2021,4131000000,2014,947,1067,4790,8834,14401,3620,2297,2067,2454
2021,4133000000,,,,13919,24171,66683,16457,17088,6214,11357
2021,4136000000,10268,5727,4541,16686,33247,43721,6552,10698,3292,10289
2021,4137000000,16053,8298,7755,4486,8078,28330,6882,6480,2863,4408
2021,4139000000,53394,31069,22325,9663,16580,52860,10256,13562,3045,8792
2021,4141000000,9890,4943,4947,7199,12965,20989,3557,4653,1895,4689
2021,4143000000,1549,730,819,3507,7265,10266,1410,2682,891,2505
2021,4145000000,3469,1756,1713,6571,12893,31420,3812,5473,2162,4915
2021,4146000000,24824,13586,11238,20735,47369,75720,17807,13180,9530,12809
2021,4146100000,13044,8162,4882,6336,12292,24997,6854,3086,3126,2520
