yr,stdg_cd,variable,M00020010,M00020011,M00020012,M00020013,M00020014,M00020015,M00020016,M00020017,M00020018,M00020019
2021,1111000000,yr_vl,6256.0,5247.0,9092.0,21733.0,4738.0,1387.0,3927.0,1640.0,9722.0,4445.0
2021,1114000000,yr_vl,6049.0,5014.0,8214.0,19262.0,2727.0,2508.0,2196.0,3026.0,7453.0,3815.0
2021,1117000000,yr_vl,7723.0,6742.0,12197.0,32385.0,7033.0,2332.0,6517.0,2998.0,15521.0,7674.0
2021,1120000000,yr_vl,5681.0,8009.0,14834.0,36401.0,9482.0,4540.0,6344.0,5529.0,23039.0,11570.0
2021,1121500000,yr_vl,10572.0,8993.0,16448.0,56678.0,16493.0,1449.0,13946.0,2021.0,25301.0,11538.0
2021,1123000000,yr_vl,11461.0,11998.0,21051.0,52094.0,13188.0,4873.0,9133.0,5682.0,24845.0,11267.0
2021,1126000000,yr_vl,4125.0,14555.0,24864.0,45763.0,13883.0,3527.0,9485.0,4273.0,28042.0,12485.0
2021,1129000000,yr_vl,8002.0,12855.0,24002.0,50734.0,12219.0,4521.0,11126.0,5348.0,37161.0,16140.0
2021,1130500000,yr_vl,3069.0,13860.0,23233.0,34318.0,9262.0,2042.0,7551.0,2258.0,20640.0,9037.0
2021,1132000000,yr_vl,1933.0,11830.0,21829.0,25872.0,4994.0,3295.0,3804.0,4226.0,24497.0,10587.0
2021,1135000000,yr_vl,3247.0,19299.0,32101.0,40704.0,5528.0,10455.0,3948.0,12892.0,48112.0,20280.0
2021,1138000000,yr_vl,3368.0,15393.0,28338.0,46864.0,7343.0,3457.0,6187.0,4452.0,38145.0,16938.0
2021,1141000000,yr_vl,9261.0,9612.0,17616.0,42323.0,9252.0,3383.0,8946.0,4299.0,24250.0,11235.0
2021,1144000000,yr_vl,7367.0,9308.0,17235.0,57369.0,9603.0,4662.0,8318.0,6164.0,30308.0,14309.0
2021,1147000000,yr_vl,3036.0,12042.0,22558.0,30800.0,5616.0,3566.0,3684.0,3963.0,46303.0,19109.0
2021,1150000000,yr_vl,4758.0,18123.0,31667.0,76061.0,7457.0,8219.0,5285.0,9558.0,47478.0,21190.0
2021,1153000000,yr_vl,19344.0,11970.0,23603.0,42826.0,6713.0,5089.0,3961.0,5637.0,32580.0,14730.0
2021,1154500000,yr_vl,11653.0,8379.0,14491.0,38332.0,7266.0,2882.0,4273.0,2658.0,15224.0,7031.0
2021,1156000000,yr_vl,20185.0,10845.0,20519.0,58796.0,9037.0,5638.0,6397.0,5989.0,29143.0,14224.0
2021,1159000000,yr_vl,7983.0,10808.0,21300.0,56480.0,16000.0,4060.0,13949.0,4843.0,29350.0,13472.0
2021,1162000000,yr_vl,12434.0,15039.0,27462.0,120482.0,36449.0,4728.0,27478.0,4967.0,27304.0,12454.0
2021,1165000000,yr_vl,3658.0,7531.0,17869.0,38105.0,5348.0,3937.0,5247.0,5145.0,42968.0,18552.0
2021,1168000000,yr_vl,4625.0,11593.0,24959.0,59996.0,8262.0,6502.0,8907.0,8418.0,52351.0,22552.0
2021,1171000000,yr_vl,5251.0,13807.0,29857.0,65208.0,7349.0,4713.0,5736.0,6140.0,62024.0,27288.0
2021,1174000000,yr_vl,3475.0,12532.0,23962.0,44221.0,8556.0,4617.0,5910.0,6155.0,43546.0,19205.0
2021,2611000000,yr_vl,773.0,3197.0,4798.0,7779.0,1294.0,487.0,837.0,610.0,1763.0,827.0
2021,2614000000,yr_vl,884.0,6801.0,10983.0,12164.0,2850.0,1133.0,1867.0,1470.0,7000.0,3061.0
2021,2617000000,yr_vl,1148.0,6046.0,9613.0,10295.0,2247.0,1176.0,1451.0,1213.0,5239.0,2446.0
2021,2620000000,yr_vl,800.0,8037.0,12968.0,11051.0,3257.0,2192.0,1624.0,1936.0,6806.0,2922.0
2021,2623000000,yr_vl,1893.0,16175.0,27779.0,46143.0,5483.0,7277.0,3784.0,9422.0,26205.0,11295.0
2021,2626000000,yr_vl,841.0,10154.0,18977.0,21129.0,3047.0,3056.0,2243.0,3935.0,25027.0,10046.0
2021,2629000000,yr_vl,3333.0,10797.0,20334.0,25988.0,4574.0,3129.0,3010.0,3961.0,22633.0,9341.0
2021,2632000000,yr_vl,1554.0,12228.0,20447.0,21690.0,3803.0,5575.0,2096.0,5616.0,24077.0,9856.0
2021,2635000000,yr_vl,2480.0,15476.0,27466.0,32204.0,3796.0,5819.0,2370.0,7956.0,37461.0,16152.0
2021,2638000000,yr_vl,2039.0,13624.0,23314.0,28504.0,5459.0,5970.0,3034.0,5236.0,24987.0,10345.0
2021,2641000000,yr_vl,2886.0,10652.0,19174.0,27146.0,6634.0,2500.0,4610.0,3238.0,16800.0,6956.0
2021,2644000000,yr_vl,978.0,2880.0,5727.0,12629.0,3209.0,3121.0,1125.0,2049.0,18948.0,7880.0
2021,2647000000,yr_vl,626.0,8455.0,15581.0,18972.0,2674.0,2466.0,2169.0,3334.0,17783.0,7795.0
2021,2650000000,yr_vl,949.0,7858.0,14495.0,22363.0,2468.0,2313.0,2085.0,3299.0,12676.0,5964.0
2021,2653000000,yr_vl,2615.0,9557.0,15576.0,23620.0,4964.0,4538.0,2822.0,4266.0,15153.0,6368.0
2021,2671000000,yr_vl,877.0,6211.0,10748.0,14052.0,2835.0,3573.0,1495.0,3517.0,20925.0,8539.0
2021,2711000000,yr_vl,413.0,3584.0,6210.0,11458.0,2943.0,1018.0,2668.0,1278.0,5882.0,2615.0
